Round,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Date,1/5/2025,1/5/2025,1/11/2025,1/18/2025,1/18/2025,1/26/2025,2/1/2025,2/1/2025,2/8/2025,2/23/2025,2/23/2025,3/1/2025,3/7/2025,3/8/2025,3/14/2025,3/16/2025,3/16/2025,3/20/2025,3/22/2025,4/13/2025,4/13/2025,5/17/2025,5/30/2025,5/31/2025,6/6/2025,6/22/2025,7/12/2025,7/19/2025,7/19/2025,8/2/2025,8/9/2025,8/16/2025,9/1/2025,9/12/2025,4/6/2025,9/20/2025
Course,Lil G,Roy G,Cat hollow,Searight,Circle C,Sprinkle,Armadillo Mini,Armadillo,Zilker,Bartholomew,Live Oak,Searight,Roy G,Met Center,Live Oak,Roy G,Lil G,Harvey Penick,Cat Hollow,Frisbee Fling,Zilker Park,Zilker Park,Live Oak,Northotown,Liveoak,Sprinkle Valley,Circle C,Lil G,Lil G,Searight,Roy G,Sprinkle Valley,Williamson County,Searight,Sprinkle,Roy G
Course Multiplier,1,2.5,2,2,2,2.5,1,2.5,1.5,1.5,1.5,2,2.5,2,1.5,2.5,1,2.5,2,2,1.5,1.5,1.5,2,1.5,2.5,2,1,1,2,2.5,2.5,2,2,2.5,2.5
Intern Line Cook Rank,,,,Not top 3,1,,,,,Not top 3,3,,2,Not top 3,3,,,,,Not top 3,,,,3,2,,,,,Not top 3,2,,,3,,
Intern Line Cook Points,0,0,0,4,24,0,0,0,0,4.5,10.5,0,17.5,8,10.5,0,0,0,0,8,0,0,0,10,16.5,0,0,0,0,8,22.5,0,0,14,0,0
Intern Line Cook Aces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intern Line Cook Eagles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intern Line Cook Birdies,,,,,2,,,,,1,2,,,2,2,,,,,2,,,,,4,,,,,2,2,,,2,,
🦤 Rank,Tied 1,Not top 3,1,1,Not top 3,Not top 3,2,2,1,2,,1,,,1,,,3,1,2,3,2,,2,,2,2,1,3,1,3,,2,2,,Not top 3
🦤 Points,11.5,5,20,30,10,5,12,25,18,15,0,28,0,0,19.5,0,0,12.5,24,18,9,15,0,24,0,22.5,22,13,7,28,15,0,16,20,0,15
